
#The following shows the html-tag count of u01_A0.xml:
Character	"	=> 93219
Character	#	=> 4
Character	&	=> 513
Character	'	=> 625
Character	(	=> 13194
Character	)	=> 13192
Character	*	=> 518
Character	,	=> 36328
Character	-	=> 4869
Character	.	=> 18023
Character	/	=> 38816
Character	0	=> 621
Character	1	=> 2443
Character	2	=> 3578
Character	3	=> 1134
Character	4	=> 974
Character	5	=> 939
Character	6	=> 739
Character	7	=> 626
Character	8	=> 638
Character	9	=> 582
Character	:	=> 7842
Character	;	=> 7418
Character	<	=> 75708
Character	=	=> 46602
Character	>	=> 75708
Character	?	=> 241
Character	A	=> 7133
Character	B	=> 738
Character	C	=> 209
Character	D	=> 159
Character	E	=> 459
Character	F	=> 3862
Character	G	=> 374
Character	H	=> 1534
Character	I	=> 2163
Character	J	=> 328
Character	K	=> 5437
Character	L	=> 1352
Character	M	=> 6081
Character	N	=> 294
Character	O	=> 436
Character	P	=> 146
Character	Q	=> 15
Character	R	=> 98
Character	S	=> 4709
Character	T	=> 6154
Character	U	=> 32
Character	V	=> 92
Character	W	=> 300
Character	X	=> 4
Character	Y	=> 407
Character	Z	=> 411
Character	[	=> 5333
Character	]	=> 5332
Character	^	=> 4
Character	_	=> 12
Character	a	=> 109562
Character	b	=> 13322
Character	c	=> 18463
Character	d	=> 44367
Character	e	=> 154243
Character	f	=> 52398
Character	g	=> 61659
Character	h	=> 74868
Character	i	=> 134791
Character	j	=> 687
Character	k	=> 5322
Character	l	=> 59150
Character	m	=> 25697
Character	n	=> 129417
Character	o	=> 101700
Character	p	=> 18534
Character	q	=> 1147
Character	r	=> 125509
Character	s	=> 52476
Character	t	=> 95677
Character	u	=> 19292
Character	v	=> 5558
Character	w	=> 12176
Character	x	=> 3728
Character	y	=> 19754
Character	z	=> 333
Character	Á	=> 19
Character	à	=> 112
Character	á	=> 485
Character	ä	=> 7
Character	å	=> 2
Character	æ	=> 7
Character	è	=> 3
Character	é	=> 5
Character	í	=> 4
Character	ï	=> 8
Character	ī	=> 1
Character	œ	=> 11
Character	ή	=> 1
Character	ί	=> 1
Character	α	=> 6
Character	β	=> 2
Character	ε	=> 1
Character	θ	=> 1
Character	ι	=> 1
Character	λ	=> 4
Character	ν	=> 6
Character	ο	=> 2
Character	ρ	=> 2
Character	ς	=> 1
Character	σ	=> 3
Character	τ	=> 5
Character	υ	=> 1
Character	ω	=> 1
Character	ό	=> 1
Character	ώ	=> 1
Character	ְ	=> 1
Character	ֱ	=> 1
Character	ֵ	=> 3
Character	ֶ	=> 1
Character	ַ	=> 4
Character	ָ	=> 1
Character	ֹ	=> 2
Character	ּ	=> 2
Character	א	=> 3
Character	ה	=> 2
Character	ו	=> 1
Character	ח	=> 3
Character	י	=> 4
Character	ל	=> 4
Character	ר	=> 3
Character	،	=> 27
Character	ء	=> 594
Character	آ	=> 2165
Character	أ	=> 9877
Character	ؤ	=> 562
Character	إ	=> 2579
Character	ئ	=> 548
Character	ا	=> 11104
Character	ب	=> 3896
Character	ة	=> 2780
Character	ت	=> 4333
Character	ث	=> 1005
Character	ج	=> 1421
Character	ح	=> 1144
Character	خ	=> 1195
Character	د	=> 2519
Character	ذ	=> 1447
Character	ر	=> 5102
Character	ز	=> 982
Character	س	=> 2197
Character	ش	=> 812
Character	ص	=> 754
Character	ض	=> 636
Character	ط	=> 602
Character	ظ	=> 115
Character	ع	=> 1889
Character	غ	=> 192
Character	ـ	=> 9
Character	ف	=> 2742
Character	ق	=> 1515
Character	ك	=> 2366
Character	ل	=> 9462
Character	م	=> 6913
Character	ن	=> 5767
Character	ه	=> 3697
Character	و	=> 4066
Character	ى	=> 2563
Character	ي	=> 5065
Character	ً	=> 691
Character	ٌ	=> 7251
Character	ٍ	=> 748
Character	َ	=> 35123
Character	ُ	=> 10127
Character	ِ	=> 12447
Character	ّ	=> 5568
Character	ْ	=> 9798
Character	ٓ	=> 2
Character	ٰ	=> 338
Character	ٱ	=> 377
Character	پ	=> 5
Character	چ	=> 1
Character	ڤ	=> 2
Character	گ	=> 4
Character	۞	=> 26
Character	ἀ	=> 2
Character	ἰ	=> 4
Character	ὁ	=> 1
Character	ὃ	=> 1
Character	ὰ	=> 1
Character	ῶ	=> 2
Character	—	=> 9
Character	―	=> 1381
Character	‘	=> 4
Character	’	=> 4
Character	“	=> 200
Character	”	=> 186
Character	↓	=> 1521
Character	�	=> 1
Total:	2353474


#The following shows the html-tag count of u02_b0.xml:
</G>	=> 2
</H>	=> 2
</L>	=> 178
</TEI.2>	=> 1
</body>	=> 1
</div1>	=> 1
</div2>	=> 240
</entryFree>	=> 2191
</foreign>	=> 14109
</form>	=> 2525
</head>	=> 240
</hi>	=> 18097
</itype>	=> 683
</orth>	=> 4304
</quote>	=> 113
</text>	=> 1
<?xml>	=> 1
<G>	=> 2
<H>	=> 2
<L>	=> 178
<TEI.2>	=> 1
<body>	=> 1
<div1>	=> 1
<div2>	=> 240
<entryFree>	=> 2191
<foreign>	=> 14109
<form>	=> 2525
<head>	=> 240
<hi>	=> 18097
<itype>	=> 683
<milestone>	=> 2176
<orth>	=> 4308
<pb>	=> 150
<quote>	=> 113
<text>	=> 1

#The following shows the character count of u02_b0.xml:
Character	NL	=> 38412
Character	SP	=> 318234
Character	!	=> 99
Character	"	=> 109312
Character	&	=> 632
Character	'	=> 523
Character	(	=> 15866
Character	)	=> 15859
Character	*	=> 559
Character	,	=> 39328
Character	-	=> 6013
Character	.	=> 20624
Character	/	=> 45018
